DAY;Hora Inicio;Hora Fin;ID;Rutina;Timeout;Habitación;Aviso;Juego;Completada;Hora Inicio Tarea;Hora Fin Tarea;Satisfaccion
lunes;08:00:00;09:30:00;1;Se levanta;10;room;Es hora de hacer 1;tarea_test.csv;No;;;
lunes;08:00:00;09:30:00;2;Se ducha;10;bathroom_1;Es hora de hacer 2;tarea_ducha.csv;No;;;
lunes;08:00:00;09:30:00;3;Se viste;10;bathroom_1;Es hora de hacer 3;tarea_vestir.csv;No;;;
lunes;08:00:00;09:30:00;4;Hace la cama;10;room_1;Es hora de hacer 4;hacer_cama.csv;No;;;
lunes;08:00:00;09:30:00;5;Prepara el desayuno;10;kitchen;Es hora de hacer 5;hacer_colacao.csv;No;;;
lunes;08:00:00;09:30:00;6;Desayuna;10;kitchen;Es hora de hacer 6;tarea_desayuno.csv;No;;;
lunes;08:00:00;09:30:00;7;Se toma la medicación;10;kitchen;Es hora de hacer 7;tarea_medicacion.csv;No;;;
lunes;08:00:00;09:30:00;8;Se lava los dientes;10;bathroom;Es hora de hacer 8;tarea_dientes.csv;No;;;
lunes;08:00:00;09:30:00;9;Prepara y coge el bolso;10;kitchen;Es hora de hacer 9;tarea_test.csv;No;;;
lunes;08:00:00;09:30:00;10;Coge la agenda para el centro;10;living_room;Es hora de hacer 10;tarea_test.csv;No;;;
lunes;08:00:00;14:30:00;11;Coge la bolsa para recoger la cena;10;kitchen;Es hora de hacer 11;tarea_test.csv;No;;;
lunes;08:00:00;14:30:00;12;Va al centro;10;house;Es hora de hacer 12;tarea_test.csv;No;;;
lunes;14:30:00;15:00:00;13;Se lava los dientes;10;bathroom_1;Es hora de hacer 13;tarea_dientes.csv;No;;;
lunes;14:30:00;15:00:00;14;Prepara la agenda del centro para el dia siguiente y deja el móvil;10;living_room;Es hora de hacer 14;tarea_test.csv;No;;;
lunes;14:30:00;17:00:00;15;Descansa;10;house;Es hora de hacer 15;tarea_test.csv;No;;;
lunes;17:00:00;19:30:00;16;Prepara la merienda;10;kitchen;Es hora de hacer 16;hacer_colacao.csv;No;;;
lunes;17:00:00;19:30:00;17;Merienda;10;kitchen;Es hora de hacer 17;tarea_test.csv;No;;;
lunes;17:00:00;19:30:00;18;Hacer la lista de la compra;10;kitchen;Es hora de hacer 18;tarea_test.csv;No;;;
lunes;17:00:00;19:30:00;19;Sale a hacer la compra;10;house;Es hora de hacer 19;tarea_test.csv;No;;;
lunes;17:00:00;19:30:00;20;Ve la tele (salón o habitación);10;house;Es hora de hacer 20;tarea_test.csv;No;;;
lunes;19:30:00;21:30:00;21;Recoge y guarda la compra;10;kitchen;Es hora de hacer 21;tarea_test.csv;No;;;
lunes;19:30:00;21:30:00;22;Pone la lavadora con su ropa sucia;10;laundry;Es hora de hacer 22;poner_lavadora.csv;No;;;
lunes;19:30:00;21:30:00;23;Tiende la ropa (terraza o salón);10;house;Es hora de hacer 23;tarea_test.csv;No;;;
lunes;19:30:00;21:30:00;24;Ve un rato la tele;10;living_room;Es hora de hacer 24;tarea_test.csv;No;;;
lunes;19:30:00;21:30:00;25;Se sirve la cena, la calienta en el microondas y cena;10;kitchen;Es hora de hacer 25;tarea_cenar.csv;No;;;
lunes;19:30:00;21:30:00;26;Se toma la medicación;10;kitchen;Es hora de hacer 26;tarea_medicacion.csv;No;;;
lunes;19:30:00;21:30:00;27;Se lava los dientes;10;bathroom_1;Es hora de hacer 27;tarea_dientes.csv;No;;;
lunes;21:30:00;23:00:00;28;Prepara la ropa para el dia siguiente;10;room_1;Es hora de hacer 28;tarea_test.csv;No;;;
lunes;21:30:00;23:00:00;29;Prepara la mochila de taekwondo o piscina;10;room_1;Es hora de hacer 29;tarea_test.csv;No;;;
lunes;21:30:00;23:00:00;30;Se pone el pijama;10;room_1;Es hora de hacer 30;tarea_pijama.csv;No;;;
lunes;21:30:00;23:00:00;31;Ve la tele (salón o habitación);10;house;Es hora de hacer 31;tarea_test.csv;No;;;
lunes;21:30:00;23:00:00;32;Se acuesta;10;room_1;Es hora de hacer 32;tarea_test.csv;No;;;
;;;;;;;;;;;;
martes;08:00:00;09:30:00;33;Se levanta;10;room;Es hora de hacer 33;tarea_test.csv;No;;;
martes;08:00:00;09:30:00;34;Se ducha;10;bathroom_1;Es hora de hacer 34;tarea_ducha.csv;No;;;
martes;08:00:00;09:30:00;35;Se viste;10;bathroom_1;Es hora de hacer 35;tarea_vestir.csv;No;;;
martes;08:00:00;09:30:00;36;Hace la cama;10;room_1;Es hora de hacer 36;hacer_cama.csv;No;;;
martes;08:00:00;09:30:00;37;Prepara el desayuno;10;kitchen;Es hora de hacer 37;hacer_colacao.csv;No;;;
martes;08:00:00;09:30:00;38;Desayuna;10;kitchen;Es hora de hacer 38;tarea_desayuno.csv;No;;;
martes;08:00:00;09:30:00;39;Se toma la medicación;10;kitchen;Es hora de hacer 39;tarea_medicacion.csv;No;;;
martes;08:00:00;09:30:00;40;Se lava los dientes;10;bathroom;Es hora de hacer 40;tarea_dientes.csv;No;;;
martes;08:00:00;09:30:00;41;Prepara y coge el bolso;10;kitchen;Es hora de hacer 41;tarea_test.csv;No;;;
martes;08:00:00;09:30:00;42;Coge la agenda para el centro;10;living_room;Es hora de hacer 42;tarea_test.csv;No;;;
martes;08:00:00;09:30:00;43;Coge la bolsa para recoger la cena;10;kitchen;Es hora de hacer 43;tarea_test.csv;No;;;
martes;08:00:00;09:30:00;44;Va al centro;10;house;Es hora de hacer 44;tarea_test.csv;No;;;
martes;14:30:00;15:00:00;45;Se lava los dientes;10;bathroom_1;Es hora de hacer 45;tarea_dientes.csv;No;;;
martes;14:30:00;15:00:00;46;Prepara la agenda del centro para el dia siguiente y deja el móvil;10;living_room;Es hora de hacer 46;tarea_test.csv;No;;;
martes;14:30:00;17:00:00;47;Descansa;10;house;Es hora de hacer 47;tarea_test.csv;No;;;
martes;17:00:00;19:30:00;48;Prepara la merienda;10;kitchen;Es hora de hacer 48;hacer_colacao.csv;No;;;
martes;17:00:00;19:30:00;49;Merienda;10;kitchen;Es hora de hacer 49;tarea_test.csv;No;;;
martes;17:00:00;19:30:00;50;Hacer la lista de la compra;10;kitchen;Es hora de hacer 50;tarea_test.csv;No;;;
martes;17:00:00;19:30:00;51;Sale a hacer la compra;10;house;Es hora de hacer 51;tarea_test.csv;No;;;
martes;17:00:00;19:30:00;52;Ve la tele (salón o habitación);10;house;Es hora de hacer 52;tarea_test.csv;No;;;
martes;19:30:00;21:30:00;53;Recoge y guarda la compra;10;kitchen;Es hora de hacer 53;tarea_test.csv;No;;;
martes;19:30:00;21:30:00;54;Pone la lavadora con su ropa sucia;10;laundry;Es hora de hacer 54;poner_lavadora.csv;No;;;
martes;19:30:00;21:30:00;55;Tiende la ropa (terraza o salón);10;house;Es hora de hacer 55;tarea_test.csv;No;;;
martes;19:30:00;21:30:00;56;Ve un rato la tele;10;living_room;Es hora de hacer 56;tarea_test.csv;No;;;
martes;19:30:00;21:30:00;57;Se sirve la cena, la calienta en el microondas y cena;10;kitchen;Es hora de hacer 57;tarea_cenar.csv;No;;;
martes;19:30:00;21:30:00;58;Se toma la medicación;10;kitchen;Es hora de hacer 58;tarea_medicacion.csv;No;;;
martes;19:30:00;21:30:00;59;Se lava los dientes;10;bathroom_1;Es hora de hacer 59;tarea_dientes.csv;No;;;
martes;21:30:00;23:00:00;60;Prepara la ropa para el dia siguiente;10;room_1;Es hora de hacer 60;tarea_test.csv;No;;;
martes;21:30:00;23:00:00;61;Prepara la mochila de taekwondo o piscina;10;room_1;Es hora de hacer 61;tarea_test.csv;No;;;
martes;21:30:00;23:00:00;62;Se pone el pijama;10;room_1;Es hora de hacer 62;tarea_pijama.csv;No;;;
martes;21:30:00;23:00:00;63;Ve la tele (salón o habitación);10;house;Es hora de hacer 63;tarea_test.csv;No;;;
martes;21:30:00;23:00:00;64;Se acuesta;10;room_1;Es hora de hacer 64;tarea_test.csv;No;;;
;;;;;;;;;;;;
miércoles;08:00:00;09:30:00;66;Se levanta;10;room;Es hora de hacer 66;tarea_test.csv;No;;;
miércoles;08:00:00;09:30:00;67;Se ducha;10;bathroom_1;Es hora de hacer 67;tarea_ducha.csv;No;;;
miércoles;08:00:00;09:30:00;68;Se viste;10;bathroom_1;Es hora de hacer 68;tarea_vestir.csv;No;;;
miércoles;08:00:00;09:30:00;69;Hace la cama;10;room_1;Es hora de hacer 69;hacer_cama.csv;No;;;
miércoles;08:00:00;09:30:00;70;Prepara el desayuno;10;kitchen;Es hora de hacer 70;hacer_colacao.csv;No;;;
miércoles;08:00:00;09:30:00;71;Desayuna;10;kitchen;Es hora de hacer 71;tarea_desayuno.csv;No;;;
miércoles;08:00:00;09:30:00;72;Se toma la medicación;10;kitchen;Es hora de hacer 72;tarea_medicacion.csv;No;;;
miércoles;08:00:00;09:30:00;73;Se lava los dientes;10;bathroom;Es hora de hacer 73;tarea_dientes.csv;No;;;
